,true_tokens,pred_tokens,t_labels,p_labels
20704,onion,onion,O,O
20705,was,was,O,O
20706,sliced,sliced,O,O
20707,in,in,O,O
20708,chunks,chunks,O,O
20709,(,(,O,O
20710,like,like,O,O
20711,you,you,O,O
20712,would,would,O,O
20713,put,put,O,O
20714,on,on,O,O
20715,a,a,O,O
20716,burger,burger,O,O
20717,),),O,O
20718,",",",",O,O
20719,the,the,O,O
20720,chilies,chilies,O,O
20721,had,had,O,O
20722,store,store,O,O
20723,bought,bought,O,O
20724,seasoning,seasoning,O,O
20725,salt,salt,O,O
20726,on,on,O,O
20727,them,them,O,O
20728,and,and,O,O
20729,they,they,O,O
20730,put,put,O,O
20731,limes,limes,O,O
20732,instead,instead,O,O
20733,of,of,O,O
20734,lemons,lemons,O,O
20735,.,.,O,O
20736,The,The,O,O
20737,food,food,O,O
20738,has,has,O,O
20739,NO,NO,O,O
20740,taste,taste,O,O
20741,.,.,O,O
20742,I,I,O,O
20743,took,took,O,O
20744,the,the,O,O
20745,rice,rice,B-MENU,B-MENU
20746,and,and,O,O
20747,channa,channa,B-MENU,B-MENU
20748,home,home,O,I-MENU
20749,and,and,O,O
20750,recooked,recooked,O,O
20751,it,it,O,O
20752,myself,myself,O,O
20753,.,.,O,O
20754,Will,Will,O,O
20755,never,never,O,O
20756,buy,buy,O,O
20757,from,from,O,O
20758,here,here,O,O
20759,again,again,O,O
20760,.,.,O,O
20761,(,(,O,O
20762,i,i,O,O
20763,had,had,O,O
20764,used,used,O,O
20765,Skip,Skip,O,O
20766,The,The,O,O
20767,Dishes,Dishes,O,O
20768,),),O,O
20769,HORRIBLE,HORRIBLE,O,O
20770,is,is,O,O
20771,not,not,O,O
20772,a,a,O,O
20773,word,word,O,O
20774,.,.,O,O
20775,So,So,O,O
20776,much,much,O,O
20777,Garam,Garam,O,B-MENU
20778,Masala,Masala,O,I-MENU
20779,in,in,O,O
20780,everything,everything,O,O
20781,",",",",O,O
20782,ruined,ruined,O,O
20783,the,the,O,O
20784,night,night,O,O
20785,for,for,O,O
20786,us,us,O,O
20787,.,.,O,O
20788,I,I,O,O
20789,read,read,O,O
20790,good,good,O,O
20791,reviews,reviews,O,O
20792,and,and,O,O
20793,I,I,O,O
20794,just,just,O,O
20795,feel,feel,O,O
20796,like,like,O,O
20797,at,at,O,O
20798,this,this,O,O
20799,point,point,O,O
20800,",",",",O,O
20801,some,some,O,O
20802,people,people,O,O
20803,haven't,haven't,O,O
20804,acquired,acquired,O,O
20805,the,the,O,O
20806,taste,taste,O,O
20807,of,of,O,O
20808,good,good,O,O
20809,Indian,Indian,O,O
20810,Authentic,Authentic,O,O
20811,food,food,O,O
20812,.,.,O,O
20813,Not,Not,O,O
20814,feeling,feeling,O,O
20815,great,great,O,O
20816,",",",",O,O
20817,spent,spent,O,O
20818,over,over,O,O
20819,a,a,O,O
20820,100,100,O,O
20821,$,$,O,O
20822,for,for,O,O
20823,unauthentic,unauthentic,O,O
20824,food.The,food.The,O,O
20825,food,food,O,O
20826,is,is,O,O
20827,alright,alright,O,O
20828,",",",",O,O
20829,not,not,O,O
20830,that,that,O,O
20831,great,great,O,O
20832,.,.,O,O
20833,Chicken,Chicken,B-MENU,B-MENU
20834,briyani,briyani,I-MENU,I-MENU
20835,is,is,O,O
20836,very,very,O,O
20837,dry,dry,O,O
20838,.,.,O,O
20839,Just,Just,O,O
20840,went,went,O,O
20841,there,there,O,O
20842,once.Awesome,once.Awesome,O,O
20843,place,place,O,O
20844,for,for,O,O
20845,take,take,O,O
20846,out,out,O,O
20847,.,.,O,O
20848,Combo,Combo,O,O
20849,comes,comes,O,O
20850,with,with,O,O
20851,rice,rice,B-MENU,B-MENU
20852,and,and,O,O
20853,any,any,O,O
20854,two,two,O,O
20855,items,items,O,O
20856,.,.,O,O
20857,This,This,O,O
20858,place,place,O,O
20859,is,is,O,O
20860,very,very,O,O
20861,authentic,authentic,O,O
20862,and,and,O,O
20863,tastes,tastes,O,O
20864,excellent,excellent,O,O
20865,.,.,O,O
20866,Anyone,Anyone,O,O
20867,looking,looking,O,O
20868,for,for,O,O
20869,cheap,cheap,O,O
20870,great,great,O,O
20871,food,food,O,O
20872,",",",",O,O
20873,this,this,O,O
20874,is,is,O,O
20875,an,an,O,O
20876,ideal,ideal,O,O
20877,choice.i,choice.i,O,O
20878,like,like,O,O
20879,the,the,O,O
20880,chicken,chicken,B-MENU,B-MENU
20881,biryani,biryani,I-MENU,I-MENU
20882,i,i,O,O
20883,like,like,O,O
20884,the,the,O,O
20885,lamb,lamb,B-MENU,B-MENU
20886,curry,curry,I-MENU,I-MENU
20887,i,i,O,O
20888,like,like,O,O
20889,the,the,O,O
20890,beef,beef,B-MENU,B-MENU
20891,samosa,samosa,I-MENU,I-MENU
20892,but,but,O,O
20893,the,the,O,O
20894,lady,lady,O,O
20895,took,took,O,O
20896,my,my,O,O
20897,money,money,O,O
20898,",",",",O,O
20899,than,than,O,O
20900,started,started,O,O
20901,putting,putting,O,O
20902,onions,onions,O,O
20903,on,on,O,O
20904,the,the,O,O
20905,meat,meat,O,O
20906,with,with,O,O
20907,out,out,O,O
20908,washing,washing,O,O
20909,hands.I've,hands.I've,O,O
20910,really,really,O,O
20911,tried,tried,O,O
20912,to,to,O,O
20913,like,like,O,O
20914,this,this,O,O
20915,place,place,O,O
20916,but,but,O,O
20917,it,it,O,O
20918,disappoints,disappoints,O,O
20919,me,me,O,O
20920,more,more,O,O
20921,and,and,O,O
20922,more,more,O,O
20923,each,each,O,O
20924,time,time,O,O
20925,I,I,O,O
20926,visit,visit,O,O
20927,.,.,O,O
20928,At,At,O,O
20929,first,first,O,O
20930,",",",",O,O
20931,the,the,O,O
20932,portions,portions,O,O
20933,were,were,O,O
20934,generous,generous,O,O
20935,and,and,O,O
20936,the,the,O,O
20937,food,food,O,O
20938,was,was,O,O
20939,delicious,delicious,O,O
20940,.,.,O,O
20941,Today,Today,O,O
20942,was,was,O,O
20943,the,the,O,O
20944,last,last,O,O
20945,time,time,O,O
20946,I'll,I'll,O,O
20947,be,be,O,O
20948,visiting,visiting,O,O
20949,",",",",O,O
20950,though,though,O,O
20951,.,.,O,O
20952,It,It,O,O
20953,was,was,O,O
20954,the,the,O,O
20955,third,third,O,O
20956,time,time,O,O
20957,I,I,O,O
20958,was,was,O,O
20959,given,given,O,O
20960,three,three,O,O
20961,small,small,O,O
20962,bits,bits,O,O
20963,of,of,O,O
20964,butter,butter,B-MENU,B-MENU
20965,chicken,chicken,I-MENU,I-MENU
20966,in,in,O,O
20967,a,a,O,O
20968,combo,combo,O,O
20969,when,when,O,O
20970,previous,previous,O,O
20971,visits,visits,O,O
20972,I,I,O,O
20973,was,was,O,O
20974,given,given,O,O
20975,two,two,O,O
20976,heaping,heaping,O,O
20977,scoops,scoops,O,O
20978,.,.,O,O
20979,When,When,O,O
20980,my,my,O,O
20981,husband,husband,O,O
20982,and,and,O,O
20983,I,I,O,O
20984,pointed,pointed,O,O
20985,it,it,O,O
20986,out,out,O,O
20987,to,to,O,O
20988,the,the,O,O
20989,server,server,O,O
20990,and,and,O,O
20991,asked,asked,O,O
20992,for,for,O,O
20993,an,an,O,O
20994,actual,actual,O,O
20995,serving,serving,O,O
20996,",",",",O,O
20997,she,she,O,O
20998,spooned,spooned,O,O
20999,three,three,O,O
21000,more,more,O,O
21001,pieces,pieces,O,O
21002,in,in,O,O
21003,but,but,O,O
21004,then,then,O,O
21005,disappeared,disappeared,O,O
21006,into,into,O,O
21007,the,the,O,O
21008,back,back,O,O
21009,with,with,O,O
21010,the,the,O,O
21011,container,container,O,O
21012,.,.,O,O
21013,She,She,O,O
21014,reemerged,reemerged,O,O
21015,a,a,O,O
21016,minute,minute,O,O
21017,or,or,O,O
21018,so,so,O,O
21019,later,later,O,O
21020,and,and,O,O
21021,told,told,O,O
21022,us,us,O,O
21023,she,she,O,O
21024,had,had,O,O
21025,to,to,O,O
21026,check,check,O,O
21027,if,if,O,O
21028,it,it,O,O
21029,was,was,O,O
21030,ok,ok,O,O
21031,.,.,O,O
21032,I,I,O,O
21033,get,get,O,O
21034,it,it,O,O
21035,if,if,O,O
21036,we,we,O,O
21037,were,were,O,O
21038,asking,asking,O,O
21039,for,for,O,O
21040,a,a,O,O
21041,huge,huge,O,O
21042,amount,amount,O,O
21043,but,but,O,O
21044,we,we,O,O
21045,were,were,O,O
21046,not,not,O,O
21047,.,.,O,O
21048,Just,Just,O,O
21049,the,the,O,O
21050,same,same,O,O
21051,amount,amount,O,O
21052,given,given,O,O
21053,to,to,O,O
21054,us,us,O,O
21055,when,when,O,O
21056,asking,asking,O,O
21057,for,for,O,O
21058,the,the,O,O
21059,vegetable,vegetable,B-MENU,B-MENU
21060,curry,curry,I-MENU,I-MENU
21061,.,.,O,O
21062,The,The,O,O
21063,thing,thing,O,O
21064,that,that,O,O
21065,bugs,bugs,O,O
21066,me,me,O,O
21067,the,the,O,O
21068,most,most,O,O
21069,is,is,O,O
21070,that,that,O,O
21071,I,I,O,O
21072,have,have,O,O
21073,no,no,O,O
21074,clue,clue,O,O
21075,what,what,O,O
21076,actually,actually,O,O
21077,happened,happened,O,O
21078,to,to,O,O
21079,my,my,O,O
21080,container,container,O,O
21081,when,when,O,O
21082,it,it,O,O
21083,was,was,O,O
21084,taken,taken,O,O
21085,out,out,O,O
21086,of,of,O,O
21087,my,my,O,O
21088,sight,sight,O,O
21089,.,.,O,O
21090,Won't,Won't,O,O
21091,be,be,O,O
21092,returning.Great,returning.Great,O,O
21093,food,food,O,O
21094,.,.,O,O
21095,Pretty,Pretty,O,O
21096,much,much,O,O
21097,all,all,O,O
21098,dishes,dishes,O,O
21099,are,are,O,O
21100,great,great,O,O
21101,.,.,O,O
21102,Depending,Depending,O,O
21103,on,on,O,O
21104,who,who,O,O
21105,serves,serves,O,O
21106,you,you,O,O
21107,",",",",O,O
21108,you,you,O,O
21109,may,may,O,O
21110,get,get,O,O
21111,more,more,O,O
21112,or,or,O,O
21113,less,less,O,O
21114,pieces,pieces,O,O
21115,of,of,O,O
21116,meat,meat,O,O
21117,in,in,O,O
21118,your,your,O,O
21119,Biryani,Biryani,B-MENU,B-MENU
21120,-,-,O,O
21121,but,but,O,O
21122,regardless,regardless,O,O
21123,it,it,O,O
21124,will,will,O,O
21125,taste,taste,O,O
21126,good,good,O,O
21127,.,.,O,O
21128,May,May,O,O
21129,be,be,O,O
21130,on,on,O,O
21131,the,the,O,O
21132,oilier,oilier,O,O
21133,side,side,O,O
21134,.,.,O,O
21135,.,.,O,O
21136,.,.,O,O
21137,Better,Better,O,O
21138,than,than,O,O
21139,Biryani,Biryani,B-MENU,B-MENU
21140,is,is,O,O
21141,the,the,O,O
21142,veal,veal,O,B-MENU
21143,pulao,pulao,B-MENU,I-MENU
21144,that,that,O,O
21145,is,is,O,O
21146,available,available,O,O
21147,only,only,O,O
21148,on,on,O,O
21149,weekends,weekends,O,O
21150,.,.,O,O
21151,I,I,O,O
21152,continue,continue,O,O
21153,to,to,O,O
21154,takeout,takeout,O,O
21155,from,from,O,O
21156,this,this,O,O
21157,place,place,O,O
21158,regularly,regularly,O,O
21159,.,.,O,O
21160,.,.,O,O
21161,This,This,O,O
21162,place,place,O,O
21163,is,is,O,O
21164,ideal,ideal,O,O
21165,for,for,O,O
21166,days,days,O,O
21167,",",",",O,O
21168,you,you,O,O
21169,simply,simply,O,O
21170,want,want,O,O
21171,to,to,O,O
21172,take,take,O,O
21173,out,out,O,O
21174,good,good,O,O
21175,",",",",O,O
21176,fast,fast,O,O
21177,",",",",O,O
21178,and,and,O,O
21179,already,already,O,O
21180,made,made,O,O
21181,food,food,O,O
21182,.,.,O,O
21183,They,They,O,O
21184,have,have,O,O
21185,a,a,O,O
21186,wide,wide,O,O
21187,variety,variety,O,O
21188,of,of,O,O
21189,Indian,Indian,O,O
21190,dishes,dishes,O,O
21191,consisting,consisting,O,O
21192,of,of,O,O
21193,chicken,chicken,B-MENU,B-MENU
21194,",",",",I-MENU,I-MENU
21195,beef,beef,I-MENU,I-MENU
21196,",",",",I-MENU,I-MENU
21197,goat,goat,I-MENU,I-MENU
21198,",",",",I-MENU,I-MENU
21199,fish,fish,I-MENU,B-MENU
21200,and,and,I-MENU,O
21201,vegetarian,vegetarian,I-MENU,O
21202,.,.,O,O
21203,I,I,O,O
21204,especially,especially,O,O
21205,like,like,O,O
21206,their,their,O,O
21207,Biryani,Biryani,B-MENU,B-MENU
21208,(,(,O,O
21209,chicken,chicken,O,O
21210,and,and,O,O
21211,rice,rice,O,I-MENU
21212,),),O,O
21213,special,special,O,O
21214,.,.,O,O
21215,Its,Its,O,O
21216,delicious,delicious,O,O
21217,food,food,O,O
21218,at,at,O,O
21219,a,a,O,O
21220,good,good,O,O
21221,price,price,O,O
21222,.,.,O,O
21223,The,The,O,O
21224,food,food,O,O
21225,is,is,O,O
21226,laid,laid,O,O
21227,out,out,O,O
21228,like,like,O,O
21229,a,a,O,O
21230,buffet,buffet,O,O
21231,for,for,O,O
21232,you,you,O,O
21233,to,to,O,O
21234,see,see,O,O
21235,",",",",O,O
21236,and,and,O,O
21237,you,you,O,O
21238,simply,simply,O,O
21239,ask,ask,O,O
21240,the,the,O,O
21241,server,server,O,O
21242,for,for,O,O
21243,the,the,O,O
21244,dishes,dishes,O,O
21245,you,you,O,O
21246,want,want,O,O
21247,.,.,O,O
21248,Personally,Personally,O,O
21249,I,I,O,O
21250,like,like,O,O
21251,taking,taking,O,O
21252,out,out,O,O
21253,the,the,O,O
21254,meat,meat,O,O
21255,dishes,dishes,O,O
21256,from,from,O,O
21257,here,here,O,O
21258,and,and,O,O
21259,eating,eating,O,O
21260,with,with,O,O
21261,rice,rice,B-MENU,B-MENU
21262,or,or,O,O
21263,rotis,rotis,B-MENU,B-MENU
21264,that,that,O,O
21265,I,I,O,O
21266,already,already,O,O
21267,have,have,O,O
21268,at,at,O,O
21269,home,home,O,O
21270,.,.,O,O
21271,My,My,O,O
21272,favourite,favourite,O,O
21273,dishes,dishes,O,O
21274,are,are,O,O
21275,Achari,Achari,B-MENU,B-MENU
21276,chicken,chicken,I-MENU,I-MENU
21277,",",",",O,O
21278,the,the,O,O
21279,goat,goat,O,O
21280,",",",",O,O
21281,the,the,O,O
21282,fish,fish,B-MENU,B-MENU
21283,pakoras,pakoras,I-MENU,I-MENU
21284,and,and,O,O
21285,the,the,O,O
21286,biryani,biryani,B-MENU,B-MENU
21287,.,.,O,O
21288,The,The,O,O
21289,place,place,O,O
21290,is,is,O,O
21291,well,well,O,O
21292,maintained,maintained,O,O
21293,and,and,O,O
21294,clean,clean,O,O
21295,making,making,O,O
21296,it,it,O,O
21297,more,more,O,O
21298,appealing.We,appealing.We,O,O
21299,were,were,O,O
21300,initially,initially,O,O
21301,introduced,introduced,O,O
21302,to,to,O,O
21303,the,the,O,O
21304,food,food,O,O
21305,from,from,O,O
21306,Silver,Silver,O,O
21307,Spoon,Spoon,O,O
21308,from,from,O,O
21309,a,a,O,O
21310,group,group,O,O
21311,lunch,lunch,O,O
21312,event,event,O,O
21313,at,at,O,O
21314,work,work,O,O
21315,.,.,O,O
21316,We,We,O,O
21317,have,have,O,O
21318,been,been,O,O
21319,regulars,regulars,O,O
21320,ever,ever,O,O
21321,since,since,O,O
21322,.,.,O,O
21323,It,It,O,O
21324,is,is,O,O
21325,a,a,O,O
21326,takeout,takeout,O,O
21327,restaurant,restaurant,O,O
21328,with,with,O,O
21329,a,a,O,O
21330,great,great,O,O
21331,selection,selection,O,O
21332,of,of,O,O
21333,hot,hot,O,O
21334,foods,foods,O,O
21335,from,from,O,O
21336,their,their,O,O
21337,display,display,O,O
21338,window,window,O,O
21339,.,.,O,O
21340,So,So,O,O
21341,no,no,O,O
21342,waiting,waiting,O,O
21343,.,.,O,O
21344,Everything,Everything,O,O
21345,is,is,O,O
21346,fresh,fresh,O,O
21347,and,and,O,O
21348,has,has,O,O
21349,an,an,O,O
21350,authentic,authentic,O,O
21351,home,home,O,O
21352,made,made,O,O
21353,flavour,flavour,O,O
21354,.,.,O,O
21355,The,The,O,O
21356,rice,rice,B-MENU,B-MENU
21357,is,is,O,O
21358,long,long,O,O
21359,grain,grain,O,O
21360,and,and,O,O
21361,light,light,O,O
21362,.,.,O,O
21363,The,The,O,O
21364,chicken,chicken,O,O
21365,pieces,pieces,O,O
21366,are,are,O,O
21367,tasty,tasty,O,O
21368,.,.,O,O
21369,The,The,O,O
21370,sauces,sauces,B-MENU,B-MENU
21371,are,are,O,O
21372,rich,rich,O,O
21373,and,and,O,O
21374,tasty,tasty,O,O
21375,.,.,O,O
21376,We,We,O,O
21377,have,have,O,O
21378,always,always,O,O
21379,found,found,O,O
21380,the,the,O,O
21381,staff,staff,O,O
21382,friendly,friendly,O,O
21383,and,and,O,O
21384,helpful,helpful,O,O
21385,and,and,O,O
21386,willing,willing,O,O
21387,to,to,O,O
21388,explain,explain,O,O
21389,the,the,O,O
21390,various,various,O,O
21391,dishes,dishes,O,O
21392,.,.,O,O
21393,When,When,O,O
21394,you,you,O,O
21395,get,get,O,O
21396,into,into,O,O
21397,your,your,O,O
21398,car,car,O,O
21399,with,with,O,O
21400,your,your,O,O
21401,food,food,O,O
21402,",",",",O,O
21403,the,the,O,O
21404,smells,smells,O,O
21405,are,are,O,O
21406,so,so,O,O
21407,delicious,delicious,O,O
21408,you,you,O,O
21409,cannot,cannot,O,O
21410,be,be,O,O
21411,sure,sure,O,O
21412,you,you,O,O
21413,can,can,O,O
21414,get,get,O,O
21415,home,home,O,O
21416,without,without,O,O
21417,trying,trying,O,O
21418,some,some,O,O
21419,.,.,O,O
21420,Highly,Highly,O,O
21421,recommended.I've,recommended.I've,O,O
21422,been,been,O,O
21423,here,here,O,O
21424,many,many,O,O
21425,times,times,O,O
21426,",",",",O,O
21427,and,and,O,O
21428,had,had,O,O
21429,varied,varied,O,O
21430,experiences,experiences,O,O
21431,",",",",O,O
21432,but,but,O,O
21433,overall,overall,O,O
21434,",",",",O,O
21435,I,I,O,O
21436,am,am,O,O
21437,a,a,O,O
21438,fan,fan,O,O
21439,of,of,O,O
21440,Silver,Silver,O,O
21441,Spoon,Spoon,O,O
21442,.,.,O,O
21443,Even,Even,O,O
21444,though,though,O,O
21445,they,they,O,O
21446,have,have,O,O
21447,expanded,expanded,O,O
21448,to,to,O,O
21449,another,another,O,O
21450,location,location,O,O
21451,in,in,O,O
21452,Scarborough,Scarborough,O,O
21453,",",",",O,O
21454,so,so,O,O
21455,that,that,O,O
21456,there,there,O,O
21457,are,are,O,O
21458,now,now,O,O
21459,two,two,O,O
21460,Silver,Silver,O,O
21461,Spoons,Spoons,O,O
21462,",",",",O,O
21463,the,the,O,O
21464,Pickering,Pickering,O,O
21465,location,location,O,O
21466,has,has,O,O
21467,managed,managed,O,O
21468,to,to,O,O
21469,maintain,maintain,O,O
21470,consistent,consistent,O,O
21471,quality,quality,O,O
21472,",",",",O,O
21473,although,although,O,O
21474,it,it,O,O
21475,can,can,O,O
21476,vary,vary,O,O
21477,on,on,O,O
21478,days,days,O,O
21479,.,.,O,O
21480,Well,Well,O,O
21481,",",",",O,O
21482,what,what,O,O
21483,restaurant,restaurant,O,O
21484,doesn't,doesn't,O,O
21485,have,have,O,O
21486,that,that,O,O
21487,problem,problem,O,O
21488,?,?,O,O
21489,You,You,O,O
21490,might,might,O,O
21491,be,be,O,O
21492,suddenly,suddenly,O,O
21493,short-staffed,short-staffed,O,O
21494,(,(,O,O
21495,someone,someone,O,O
21496,down,down,O,O
21497,with,with,O,O
21498,the,the,O,O
21499,flu,flu,O,O
21500,),),O,O
21501,",",",",O,O
21502,or,or,O,O
21503,perhaps,perhaps,O,O
21504,one,one,O,O
21505,of,of,O,O
21506,your,your,O,O
21507,deliveries,deliveries,O,O
21508,didn't,didn't,O,O
21509,make,make,O,O
21510,it,it,O,O
21511,on,on,O,O
21512,time,time,O,O
21513,?,?,O,O
21514,It,It,O,O
21515,is,is,O,O
21516,good,good,O,O
21517,food,food,O,O
21518,.,.,O,O
21519,I,I,O,O
21520,prefer,prefer,O,O
21521,the,the,O,O
21522,Pakistani,Pakistani,O,O
21523,cuisine,cuisine,O,O
21524,:,:,O,O
21525,Nihari,Nihari,B-MENU,B-MENU
21526,",",",",O,O
21527,Haleem,Haleem,B-MENU,B-MENU
21528,(,(,O,O
21529,not,not,O,O
21530,always,always,O,O
21531,available,available,O,O
21532,),),O,O
21533,and,and,O,O
21534,several,several,O,O
21535,of,of,O,O
21536,the,the,O,O
21537,biryanis,biryanis,B-MENU,B-MENU
21538,.,.,O,O
21539,They,They,O,O
21540,are,are,O,O
21541,now,now,O,O
21542,offering,offering,O,O
21543,Sindhi,Sindhi,B-MENU,B-MENU
21544,Biryani,Biryani,I-MENU,I-MENU
21545,on,on,O,O
21546,weekends,weekends,O,O
21547,",",",",O,O
21548,and,and,O,O
21549,I'm,I'm,O,O
21550,so,so,O,O
21551,pleased,pleased,O,O
21552,!,!,O,O
21553,The,The,O,O
21554,only,only,O,O
21555,way,way,O,O
21556,that,that,O,O
21557,I,I,O,O
21558,could,could,O,O
21559,get,get,O,O
21560,that,that,O,O
21561,in,in,O,O
21562,the,the,O,O
21563,past,past,O,O
21564,was,was,O,O
21565,to,to,O,O
21566,make,make,O,O
21567,it,it,O,O
21568,myself,myself,O,O
21569,using,using,O,O
21570,a,a,O,O
21571,packaged,packaged,O,O
21572,spice,spice,O,O
21573,blend,blend,O,O
21574,.,.,O,O
21575,If,If,O,O
21576,you,you,O,O
21577,want,want,O,O
21578,to,to,O,O
21579,get,get,O,O
21580,Naan,Naan,B-MENU,B-MENU
21581,",",",",O,O
21582,I,I,O,O
21583,recommend,recommend,O,O
21584,the,the,O,O
21585,Butter,Butter,B-MENU,B-MENU
21586,Naan,Naan,I-MENU,I-MENU
21587,.,.,O,O
21588,Although,Although,O,O
21589,it,it,O,O
21590,costs,costs,O,O
21591,a,a,O,O
21592,bit,bit,O,O
21593,more,more,O,O
21594,",",",",O,O
21595,the,the,O,O
21596,butter,butter,O,O
21597,enhancements,enhancements,O,O
21598,really,really,O,O
21599,take,take,O,O
21600,the,the,O,O
21601,Naan,Naan,B-MENU,B-MENU
21602,to,to,O,O
21603,the,the,O,O
21604,next,next,O,O
21605,level,level,O,O
21606,of,of,O,O
21607,browning,browning,O,O
21608,and,and,O,O
21609,savoury,savoury,O,O
21610,tastes,tastes,O,O
21611,.,.,O,O
21612,Ok,Ok,O,O
21613,",",",",O,O
21614,things,things,O,O
21615,sit,sit,O,O
21616,under,under,O,O
21617,the,the,O,O
21618,heat,heat,O,O
21619,lamp,lamp,O,O
21620,",",",",O,O
21621,but,but,O,O
21622,they,they,O,O
21623,do,do,O,O
21624,not,not,O,O
21625,seem,seem,O,O
21626,to,to,O,O
21627,suffer,suffer,O,O
21628,that,that,O,O
21629,much,much,O,O
21630,(,(,O,O
21631,particularly,particularly,O,O
21632,something,something,O,O
21633,like,like,O,O
21634,Nihari,Nihari,B-MENU,B-MENU
21635,",",",",O,O
21636,which,which,O,O
21637,is,is,O,O
21638,a,a,O,O
21639,stew-type,stew-type,O,O
21640,dish,dish,O,O
21641,that,that,O,O
21642,can,can,O,O
21643,withstand,withstand,O,O
21644,the,the,O,O
21645,warming,warming,O,O
21646,table,table,O,O
21647,.,.,O,O
21648,Everything,Everything,O,O
21649,has,has,O,O
21650,always,always,O,O
21651,tasted,tasted,O,O
21652,fresh,fresh,O,O
21653,when,when,O,O
21654,I,I,O,O
21655,have,have,O,O
21656,ordered,ordered,O,O
21657,it,it,O,O
21658,.,.,O,O
21659,I,I,O,O
21660,find,find,O,O
21661,that,that,O,O
21662,the,the,O,O
21663,samosas,samosas,O,B-MENU
21664,are,are,O,O
21665,fairly,fairly,O,O
21666,standard,standard,O,O
21667,",",",",O,O
21668,but,but,O,O
21669,there,there,O,O
21670,are,are,O,O
21671,other,other,O,O
21672,appetizers,appetizers,O,O
21673,which,which,O,O
21674,are,are,O,O
21675,more,more,O,O
21676,exciting,exciting,O,O
21677,.,.,O,O
21678,For,For,O,O
21679,people,people,O,O
21680,who,who,O,O
21681,like,like,O,O
21682,the,the,O,O
21683,dark,dark,O,O
21684,meat,meat,O,O
21685,of,of,O,O
21686,the,the,O,O
21687,chicken,chicken,O,B-MENU
21688,",",",",O,O
21689,Lollypop,Lollypop,B-MENU,B-MENU
21690,Chicken,Chicken,I-MENU,I-MENU
21691,is,is,O,O
21692,great,great,O,O
21693,and,and,O,O
21694,consistently,consistently,O,O
21695,good,good,O,O
21696,.,.,O,O
21697,I,I,O,O
21698,also,also,O,O
21699,enjoy,enjoy,O,O
21700,Shami,Shami,B-MENU,O
21701,Kabab,Kabab,I-MENU,I-MENU
21702,.,.,O,O
21703,If,If,O,O
21704,you,you,O,O
21705,like,like,O,O
21706,fish,fish,O,B-MENU
21707,",",",",O,O
21708,don't,don't,O,O
21709,skip,skip,O,O
21710,the,the,O,O
21711,Fingerfish,Fingerfish,B-MENU,B-MENU
21712,",",",",O,O
21713,which,which,O,O
21714,is,is,O,O
21715,consistently,consistently,O,O
21716,tasty,tasty,O,O
21717,.,.,O,O
21718,Whenever,Whenever,O,O
21719,I,I,O,O
21720,have,have,O,O
21721,been,been,O,O
21722,there,there,O,O
21723,",",",",O,O
21724,which,which,O,O
21725,is,is,O,O
21726,perhaps,perhaps,O,O
21727,once,once,O,O
21728,a,a,O,O
21729,month,month,O,O
21730,or,or,O,O
21731,two,two,O,O
21732,",",",",O,O
21733,for,for,O,O
21734,the,the,O,O
21735,past,past,O,O
21736,five,five,O,O
21737,years,years,O,O
21738,",",",",O,O
21739,the,the,O,O
21740,portions,portions,O,O
21741,have,have,O,O
21742,been,been,O,O
21743,generous,generous,O,O
21744,.,.,O,O
21745,I,I,O,O
21746,am,am,O,O
21747,certainly,certainly,O,O
21748,a,a,O,O
21749,fan,fan,O,O
21750,",",",",O,O
21751,and,and,O,O
21752,the,the,O,O
21753,Silver,Silver,O,O
21754,Spoon,Spoon,O,O
21755,fills,fills,O,O
21756,an,an,O,O
21757,important,important,O,O
21758,niche,niche,O,O
21759,in,in,O,O
21760,the,the,O,O
21761,local,local,O,O
21762,",",",",O,O
21763,Pickering,Pickering,O,O
21764,community,community,O,O
21765,as,as,O,O
21766,a,a,O,O
21767,convenient,convenient,O,O
21768,place,place,O,O
21769,to,to,O,O
21770,pick,pick,O,O
21771,up,up,O,O
21772,some,some,O,O
21773,Halal,Halal,O,O
21774,take-away,take-away,O,O
21775,of,of,O,O
21776,decent,decent,O,O
21777,quality.Oh,quality.Oh,O,O
21778,",",",",O,O
21779,Silver,Silver,O,B-MENU
21780,Spoon,Spoon,O,O
21781,.,.,O,O
21782,I've,I've,O,O
21783,tried,tried,O,O
21784,to,to,O,O
21785,love,love,O,O
21786,you,you,O,O
21787,.,.,O,O
21788,I've,I've,O,O
21789,given,given,O,O
21790,you,you,O,O
21791,so,so,O,O
21792,many,many,O,O
21793,chances,chances,O,O
21794,.,.,O,O
21795,But,But,O,O
21796,this,this,O,O
21797,just,just,O,O
21798,isn't,isn't,O,O
21799,working,working,O,O
21800,out,out,O,O
21801,anymore,anymore,O,O
21802,.,.,O,O
21803,To,To,O,O
21804,start,start,O,O
21805,:,:,O,O
21806,the,the,O,O
21807,food,food,O,O
21808,isn't,isn't,O,O
21809,exactly,exactly,O,O
21810,terrible,terrible,O,O
21811,.,.,O,O
21812,It's,It's,O,O
21813,just,just,O,O
21814,.,.,O,O
21815,.,.,O,O
21816,.,.,O,O
21817,not,not,O,O
21818,very,very,O,O
21819,good,good,O,O
21820,.,.,O,O
21821,I've,I've,O,O
21822,tried,tried,O,O
21823,almost,almost,O,O
21824,every,every,O,O
