-DOCSTART- -X- -X- O
even RB O O
when WRB O O
I PRP B-NP O
got VBD B-VP O
back RB I-VP O
home NN B-NP O
to TO B-VP O
eat VB I-VP O
it PRP B-NP O
. . O O

My PRP$ B-NP O
family NN I-NP O
really RB O O
enjoyed VBD B-VP O
the DT B-NP O
taste NN I-NP O
. . O O

The DT B-NP O
Chana NNP I-NP B-MENU
was VBD B-VP O
a DT B-NP O
bit NN I-NP O
spicy NN I-NP O
, , O O
but CC O O
it PRP B-NP O
balanced VBD B-VP O
with IN B-PP O
the DT B-NP O
sweetness NN I-NP O
of IN B-PP O
the DT B-NP O
halwa NN I-NP B-MENU
. . O O

The DT B-NP O
puri NN I-NP B-MENU
was VBD B-VP O
very RB I-VP O
large JJ B-NP O
and CC O O
tasted JJ B-NP O
great JJ I-NP O
. . O O

With IN B-PP O
the DT B-NP O
exception NN I-NP O
of IN B-PP O
it PRP B-NP O
being VBG I-NP O
oily RB O O
, , O O
I PRP B-NP O
enjoyed VBD B-VP O
the DT B-NP O
food NN I-NP O
. . O O

The DT B-NP O
portion NN I-NP O
sizes VBZ B-VP O
seem VBP I-VP O
small JJ B-NP O
but CC O O
the DT B-NP O
food NN I-NP O
is VBZ B-VP O
actually RB I-VP O
quite RB O O
substantial JJ B-NP O
and CC O O
heavy JJ B-NP O
, , O O
so IN B-PP O
portion NN B-NP O
sizes NNS I-NP O
are VBP B-VP O
adequate JJ B-NP O
. . O O
4 CD B-NP O
- : O O
5 CD B-NP O
portions NNS I-NP O
of IN B-PP O
halwa NN B-NP B-MENU
puri NN I-NP I-MENU
fed VBD B-VP O
8 CD B-NP O
people NNS I-NP O
. . O O

The DT B-NP O
price NN I-NP O
point NN I-NP O
was VBD B-VP O
pretty RB I-VP O
good JJ B-NP O
too RB O O
, , O O
about IN B-PP O
$ $ B-NP O
45 CD I-NP O
in IN B-PP O
total JJ B-NP O
. . O O

I PRP B-NP O
'll MD B-VP O
definitely RB I-VP O
be VB I-VP O
back RB O O
for IN B-PP O
halwa NN B-NP B-MENU
puri NN I-NP I-MENU
in IN B-PP O
the DT B-NP O
future NN I-NP O
. . O O

My PRP$ B-NP O
most JJS I-NP O
favourite JJ I-NP O
place NN I-NP O
for IN B-PP O
halwa NN B-NP B-MENU
puri NN I-NP I-MENU
breakfast NN I-NP O
! . O O

Their PRP$ B-NP O
nehari NN I-NP B-MENU
& CC O O
paya NN B-NP B-MENU
are VBP B-VP O
good JJ B-NP O
too RB O O
! . O O

Weekend NNP B-NP O
they PRP B-NP O
get VBP B-VP O
pretty RB I-VP O
busy JJ B-NP O
, , O O
but CC O O
very RB O O
good JJ B-NP O
taste NN I-NP O
of IN B-PP O
food NN B-NP O
will MD B-VP O
let VB I-VP O
you PRP B-NP O
accept VB B-VP O
that IN B-PP O
trouble NN B-NP O
! . O O

Aside RB O O
from IN B-PP O
my PRP$ B-NP O
traditional JJ I-NP O
western JJ I-NP O
breakfast NN I-NP O
, , O O
our PRP$ B-NP O
family NN I-NP O
decided VBD B-VP O
to TO I-VP O
try VB I-VP O
Indian JJ B-NP O
/ NNP I-NP O
Pakistani NNP I-NP O
. . O O

Nirala NNP B-NP O
has VBZ B-VP O
been VBN I-VP O
here RB O O
for IN B-PP O
some DT B-NP O
time NN I-NP O
, , O O
though IN B-PP O
the DT B-NP O
interior NN I-NP O
is VBZ B-VP O
basic JJ B-NP O
, , O O
they PRP B-NP O
can MD B-VP O
surely RB I-VP O
cook VB I-VP O
up RP O O
a DT B-NP O
storm NN I-NP O
whether IN B-PP O
it PRP B-NP O
be VB B-VP O
dine-in JJ B-NP O
, , O O
take VB B-VP O
out RP O O
, , O O
or CC O O
sweets NNS B-NP O
! . O O

You PRP B-NP O
can MD B-VP O
sometimes VB I-VP O
find VB I-VP O
yourself PRP B-NP O
waiting VBG I-NP O
in IN B-PP O
line NN B-NP O
especially RB O O
on IN B-PP O
weekends NNS B-NP O
during IN B-PP O
early RB B-NP O
to TO B-VP O
late VB I-VP O
breakfast NN B-NP O
hours NNS I-NP O
. . O O

Their PRP$ B-NP O
traditional JJ I-NP O
breakfast NN I-NP O
served VBD B-VP O
on IN B-PP O
a DT B-NP O
stainless NN I-NP O
steel NN I-NP O
food NN I-NP O
tray NN I-NP O
, , O O
called VBN B-VP O
Thali NNP B-NP B-MENU
. . O O

We PRP B-NP O
had VBD B-VP O
their PRP$ B-NP O
homemade NN I-NP O
halwa NN I-NP B-MENU
, , O O
channa NN B-NP B-MENU
( ( O O
chick JJ B-NP B-MENU
pea NN I-NP I-MENU
) ) O O
, , O O
pickles NNS B-NP B-MENU
, , O O
yogurt VBP B-VP O
all DT B-NP O
served VBD B-VP O
with IN B-PP O
a DT B-NP O
puri NN I-NP B-MENU
( ( O O
small JJ B-NP O
roti NN I-NP B-MENU
) ) O O
. . O O

On IN B-PP O
the DT B-NP O
side NN I-NP O
we PRP B-NP O
also RB O O
ordered VBD B-VP O
their PRP$ B-NP O
Nihari NNP I-NP B-MENU
gravy NN I-NP B-MENU
curry NN I-NP I-MENU
which WDT B-NP O
was VBD B-VP O
also RB I-VP O
served VBN I-VP O
with IN B-PP O
fresh JJ B-NP O
naans NNS I-NP B-MENU
that WDT B-NP O
were VBD B-VP O
delicious JJ B-NP O
. . O O

Probably RB O O
one CD B-NP O
of IN B-PP O
the DT B-NP O
best JJS I-NP O
nihari NN I-NP B-MENU
's POS B-NP O
I PRP B-NP O
've VBP B-VP O
ever RB I-VP O
had VBN I-VP O
. . O O

Overall PDT B-NP O
the DT I-NP O
place NN I-NP O
is VBZ B-VP O
n't RB I-VP O
fancy JJ B-NP O
but CC O O
if IN B-PP O
you PRP B-NP O
're VBP B-VP O
looking VBG I-VP O
for IN B-PP O
good JJ B-NP O
Indian JJ I-NP O
/ NN I-NP O
Pakistani NNP I-NP O
food NN I-NP O
do VBP B-VP O
try VB I-VP O
this DT B-NP O
place NN I-NP O
! . O O

They PRP B-NP O
have VBP B-VP O
the DT B-NP O
best JJS I-NP O
halwa NN I-NP B-MENU
puri NN I-NP I-MENU
. . O O

This DT B-NP O
place NN I-NP O
is VBZ B-VP O
usually RB I-VP O
packed VBN I-VP O
for IN B-PP O
breakfast NN B-NP O
. . O O

They PRP B-NP O
have VBP B-VP O
fast VBN I-VP O
service NN B-NP O
. . O O

Sometimes RB O O
depending VBG B-VP O
on IN B-PP O
the DT B-NP O
time NN I-NP O
there EX B-NP O
is VBZ B-VP O
a DT B-NP O
line NN I-NP O
up RP B-PP O
but CC I-PP O
it PRP B-NP O
's VBZ B-VP O
definitely RB I-VP O
worth JJ B-NP O
the DT I-NP O
wait NN I-NP O
. . O O

Very RB O O
Friendly JJ B-NP O
Staff NNP I-NP O
. . O O

Place NNP B-NP O
gets VBZ B-VP O
really RB I-VP O
busy JJ B-NP O
. . O O

Food NN B-NP O
is VBZ B-VP O
very RB I-VP O
Good JJ B-NP O
. . O O

Magaz NNP B-NP O
is VBZ B-VP O
the DT B-NP O
best JJS I-NP O
I PRP B-NP O
ever RB O O
tried VBD B-VP O
Authentic NNP B-NP O
pakistani NN I-NP O
food NN I-NP O
very RB O O
real JJ B-NP O
pakistani NN I-NP O
taste NN I-NP O
. . O O

Fish NN B-NP B-MENU
is VBZ B-VP O
different JJ B-NP O
than IN B-PP O
anywhere RB B-NP O
else JJ I-NP O
I PRP B-NP O
tired VBD B-VP O
. . O O

Chicken NNP B-NP B-MENU
Tikka NNP I-NP I-MENU
loved VBD B-VP O
it PRP B-NP O
authentic JJ I-NP O
taste NN I-NP O
. . O O
My PRP$ B-NP O
Fav JJ I-NP O
place NN I-NP O
for IN B-PP O
Halwa NNP B-NP B-MENU
poori NN I-NP I-MENU
nashta NN I-NP O
. . O O

The DT B-NP O
owner NN I-NP O
is VBZ B-VP O
a DT B-NP O
really RB O O
nice JJ B-NP O
man NN I-NP O
and CC O O
the DT B-NP O
staff NN I-NP O
is VBZ B-VP O
really RB I-VP O
friendly JJ B-NP O
too RB O O
. . O O

This DT B-NP O
is VBZ B-VP O
my PRP$ B-NP O
fav JJ I-NP O
place NN I-NP O
to TO B-VP O
go VB I-VP O
with IN B-PP O
my PRP$ B-NP O
whole JJ I-NP O
family NN I-NP O
. . O O

The DT B-NP O
food NN I-NP O
here RB O O
takes VBZ B-VP O
SO RB I-VP O
long RB O O
to TO B-VP O
come VB I-VP O
out RP O O
its PRP$ B-NP O
extremely RB O O
aggravating VBG B-VP O
even RB I-VP O
though IN B-PP O
they PRP B-NP O
microwave VBP B-VP O
everything NN B-NP O
, , O O
somethings NNS B-NP O
will MD B-VP O
come VB I-VP O
cold NN B-NP O
in IN B-PP O
the DT B-NP O
center NN I-NP O
, , O O
hot JJ B-NP O
around IN B-PP O
the DT B-NP O
edges NNS I-NP O
while IN B-PP O
something NN B-NP O
else RB O O
would MD B-VP O
be VB I-VP O
piping VBG I-VP O
hot JJ B-NP O
. . O O

Also RB O O
the DT B-NP O
food NN I-NP O
is VBZ B-VP O
extremely RB I-VP O
spicy JJ B-NP O
( ( O O
coming VBG B-VP O
from IN B-PP O
someone NN B-NP O
that WDT B-NP O
loves VBZ B-VP O
spicy RB I-VP O
food NN B-NP O
) ) O O
and CC O O
it PRP B-NP O
's VBZ B-VP O
fine JJ B-NP O
if IN B-PP O
they PRP B-NP O
want VBP B-VP O
to TO I-VP O
offer VB I-VP O
such JJ B-NP O
a DT I-NP O
level NN I-NP O
of IN B-PP O
heat NN B-NP O
but CC O O
there EX B-NP O
should MD B-VP O
be VB I-VP O
an DT B-NP O
option NN I-NP O
not RB O O
to TO B-VP O
have VB I-VP O
it PRP B-NP O
so RB O O
overly RB O O
fire NN B-NP O
burning NN I-NP O
spicy NN I-NP O
. . O O

Every DT B-NP O
restaurant NN I-NP O
I PRP B-NP O
go VBP B-VP O
gives VBZ I-VP O
the DT B-NP O
option NN I-NP O
for IN B-PP O
mild JJ B-NP O
/ NNP I-NP O
medium NN I-NP O
/ NN I-NP O
spicy NN I-NP O
. . O O

Over IN B-PP O
here RB B-NP O
it PRP B-NP O
's VBZ B-VP O
just RB I-VP O
burn VB I-VP O
your PRP$ B-NP O
tongue NN I-NP O
off IN B-PP O
spicy NN B-NP O
. . O O

Love VB B-VP O
this DT B-NP O
place NN I-NP O
, , O O
naan NN B-NP B-MENU
was VBD B-VP O
fresh JJ B-NP O
and CC O O
tasty JJ B-NP O
. . O O

Kababs NNS B-NP B-MENU
were VBD B-VP O
good JJ B-NP O
and CC O O
they PRP B-NP O
're VBP B-VP O
nihari DT B-NP O
is VBZ B-VP O
something NN B-NP O
special JJ I-NP O
. . O O

Prices NNS B-NP O
are VBP B-VP O
reasonable JJ B-NP O
, , O O
will MD B-VP O
definitely RB I-VP O
be VB I-VP O
a DT B-NP O
returning VBG I-NP O
customer NN I-NP O
. . O O

The DT B-NP O
owners NNS I-NP O
Usman NNP I-NP O
and CC O O
his PRP$ B-NP O
brother NN I-NP O
come NN I-NP O
from IN B-PP O
a DT B-NP O
long JJ I-NP O
lineage NN I-NP O
of IN B-PP O
professional JJ B-NP O
chefs NN I-NP O
they PRP B-NP O
take VBP B-VP O
a DT B-NP O
lot NN I-NP O
of IN B-PP O
pride NN B-NP O
in IN B-PP O
the DT B-NP O
food NN I-NP O
they PRP B-NP O
prepare VBP B-VP O
for IN B-PP O
their PRP$ B-NP O
patrons NNS I-NP O
. . O O

Best NNP B-NP O
Halwa NNP I-NP B-MENU
Puri NNP I-NP I-MENU
in IN B-PP O
Greater NNP B-NP O
Toronto NNP I-NP O
Area NNP I-NP O
, , O O
Excellent NNP B-NP O
Nihari NNP I-NP B-MENU
, , O O
great JJ B-NP O
Nan NNP I-NP B-MENU
's POS B-NP O
- : O O
Main NN B-NP O
Dishes NNP I-NP O
try VBD B-VP O
the DT B-NP O
Spinach NNP I-NP O
, , O O
Kababs NNP B-NP B-MENU
and CC O O
Chicken NNP B-NP B-MENU
Jalfraizi NNP I-NP I-MENU
- : O O
it PRP B-NP O
is VBZ B-VP O
worth IN B-PP O
your PRP$ B-NP O
while IN B-PP O
to TO B-PP O
drive VB B-NP O
to TO B-VP O
Markham NNP B-NP O
/ NNP I-NP O
McNicol NNP I-NP O
and CC O O
discover VB B-VP O
this DT B-NP O
gem NN I-NP O
of IN B-PP O
a DT B-NP O
restaurantTried VBN I-NP O
this DT B-NP O
place NN I-NP O
last JJ I-NP O
night NN I-NP O
, , O O
9PM CD B-NP O
and CC O O
the DT B-NP O
place NN I-NP O
was VBD B-VP O
busy JJ B-NP O
. . O O

I PRP B-NP O
agree VBP B-VP O
the DT B-NP O
aroma NN I-NP O
draws NN I-NP O
you PRP B-NP O
in IN B-PP O
. . O O

Had VBD O O
the DT B-NP O
Butter NNP I-NP B-MENU
Chicken NNP I-NP I-MENU
BroBowl NNP I-NP B-MENU
. . O O

Not RB O O
haughty JJ B-NP O
cuisine NN I-NP O
, , O O
just RB O O
honestly RB O O
good JJ B-NP O
tasty NN I-NP O
bowl NN I-NP O
full JJ I-NP O
of IN B-PP O
food NN B-NP O
, , O O
I PRP B-NP O
ordered VBD B-VP O
mine NN B-NP O
with IN B-PP O
rice NN B-NP B-MENU
and CC O O
grilled VBD B-VP B-MENU
vegetables NNS B-NP I-MENU
, , O O
and CC O O
then RB O O
I PRP B-NP O
was VBD B-VP O
asked VBN I-VP O
what WP B-NP O
toppings VBZ B-VP O
I PRP B-NP O
wanted VBD B-VP O
. . O O

I PRP B-NP O
went VBD B-VP O
too RB I-VP O
crazy JJ B-NP O
and CC O O
asked VBD B-VP O
for IN B-PP O
too RB B-NP O
many JJ I-NP O
different JJ I-NP O
, , O O
tomatoes NNS B-NP O
, , O O
onions NNS B-NP O
, , O O
hot JJ B-NP O
peppers NNS I-NP O
, , O O
cilantro NN B-NP O
, , O O
pickles NNS B-NP B-MENU
, , O O
cucumber NN B-NP O
with IN B-PP O
the DT B-NP O
west NN I-NP O
coast NN I-NP O
coriander NN I-NP O
spice NN I-NP O
up RB O O
. . O O

All PDT B-NP O
this DT I-NP O
just RB O O
masked VBN B-VP O
the DT B-NP O
flavor NN I-NP O
of IN B-PP O
the DT B-NP O
Butter NNP I-NP B-MENU
Chicken NNP I-NP I-MENU
. . O O

As IN B-PP O
Thoreau NNP B-NP O
said VBD B-VP O
, , O O
Simplify NNP B-NP O
, , O O
Simplify NNP B-NP O
. . O O

I PRP B-NP O
also RB O O
ordered VBD B-VP O
a DT B-NP O
Samosa NNP I-NP B-MENU
, , O O
the DT B-NP O
one CD I-NP O
pastry NN I-NP B-MENU
was VBD B-VP O
busting VBG I-VP O
full JJ B-NP O
of IN B-PP O
spiced JJ B-NP O
potatoes NNS I-NP O
served VBD B-VP O
with IN B-PP O
a DT B-NP O
sweet JJ I-NP O
and CC O O
tangy JJ B-NP O
, , O O
I PRP B-NP O
think VBP B-VP O
Tamarind IN B-PP B-MENU
sauce NN B-NP I-MENU
. . O O

Just RB O O
another DT B-NP O
flavor NN I-NP O
explosion NN I-NP O
. . O O

Ca NNP B-NP O
n't RB O O
forget VB B-VP O
the DT B-NP O
garlic JJ I-NP B-MENU
nan NN I-NP I-MENU
. . O O
light NN B-NP O
and CC O O
fluffy NN B-NP O
, , O O
with IN B-PP O
a DT B-NP O
crisp NN I-NP O
exterior NN I-NP O
. . O O

Painted VBN B-VP O
with IN B-PP O
cilantro NN B-NP O
and CC O O
garlic JJ B-NP O
paste NN I-NP O
. . O O

I PRP B-NP O
ordered VBD B-VP O
my PRP$ B-NP O
meal NN I-NP O
to TO B-VP O
go VB I-VP O
. . O O
it PRP B-NP O
was VBD B-VP O
packed VBN I-VP O
properly RB O O
, , O O
the DT B-NP O
clear JJ I-NP O
plastic NN I-NP O
bowl NN I-NP O
with IN B-PP O
a DT B-NP O
tight JJ I-NP O
fitting NN I-NP O
lid NN I-NP O
, , O O
kept VBD B-VP O
my PRP$ B-NP O
meal NN I-NP O
in IN B-PP O
tack NN B-NP O
as IN B-PP O
I PRP B-NP O
drove VBD B-VP O
home NN B-NP O
, , O O
which WDT B-NP O
was VBD B-VP O
recyclable JJ B-NP O
. . O O

The DT B-NP O
Samosa NNP I-NP B-MENU
and CC O O
Nan NNP B-NP B-MENU
were VBD B-VP O
individually RB I-VP O
packed VBN I-VP O
in IN B-PP O
insulated JJ B-NP O
bags NNS I-NP O
that WDT B-NP O
kept VBD B-VP O
them PRP B-NP O
warm JJ I-NP O
but CC O O
did VBD B-VP O
n't RB I-VP O
let VB I-VP O
them PRP B-NP O
steam VB B-VP O
to TO I-VP O
become VB I-VP O
mushy JJ B-NP O
. . O O

My PRP$ B-NP O
only JJ I-NP O
ding NN I-NP O
was VBD B-VP O
that IN B-PP O
I PRP B-NP O
was VBD B-VP O
expecting VBG I-VP O
chunks NNS B-NP O
of IN B-PP O
chicken NN B-NP B-MENU
and CC O O
their PRP$ B-NP O
version NN I-NP O
had VBD B-VP O
shredded VBN I-VP O
the DT B-NP O
chicken NN I-NP B-MENU
. . O O

With IN B-PP O
two CD B-NP O
Perrier NNP I-NP O
, , O O
BroBowl NNP B-NP B-MENU
, , O O
Samosa NNP B-NP B-MENU
, , O O
Nan NNP B-NP B-MENU
came VBD B-VP O
to TO I-VP O
about IN B-PP O
20.00CDN CD B-NP O
this DT I-NP O
was VBD B-VP O
well RB I-VP O
worth IN B-PP O
a DT B-NP O
return NN I-NP O
visit NN I-NP O
. . O O

Amazing VBG B-VP O
new JJ B-NP O
concept NN I-NP O
! . O O

Taking VBG B-VP O
the DT B-NP O
growing VBG I-NP O
Poke NNP I-NP O
trend NN I-NP O
and CC O O
throwing VBG B-VP O
an DT B-NP O
Indian JJ I-NP O
twist NN I-NP O
on IN B-PP O
it PRP B-NP O
. . O O

We PRP B-NP O
chose VBD B-VP O
the DT B-NP O
butter NN I-NP B-MENU
chicken NN I-NP I-MENU
bowl NN I-NP O
, , O O
fish JJ B-NP B-MENU
pakoras NNS I-NP I-MENU
and CC O O
garlic JJ B-NP B-MENU
Naan NNP I-NP I-MENU
( ( O O
made VBN B-VP O
fresh NN B-NP O
on IN B-PP O
the DT B-NP O
spot NN I-NP O
! . O O
! . O O
) ) O O
. . O O

All DT B-NP O
meals NNS I-NP O
were VBD B-VP O
flavourful JJ B-NP O
and CC O O
delicious JJ B-NP O
. . O O

Seriously RB O O
, , O O
we PRP B-NP O
will MD B-VP O
be VB I-VP O
coming VBG I-VP O
back RB O O
soon RB O O
! . O O
! . O O

I PRP B-NP O
do VBP B-VP O
n't RB I-VP O
usually RB O O
write JJ B-NP O
reviews NNS I-NP O
but CC O O
this DT B-NP O
place NN I-NP O
really RB O O
deserve VB B-VP O
it PRP B-NP O
, , O O
the DT B-NP O
food NN I-NP O
is VBZ B-VP O
SO RB I-VP O
good JJ B-NP O
! . O O
! . O O

The DT B-NP O
garlic JJ I-NP B-MENU
naan NN I-NP I-MENU
is VBZ B-VP O
incredible JJ B-NP O
, , O O
chicken NN B-NP B-MENU
is VBZ B-VP O
insane JJ B-NP O
and CC O O
the DT B-NP O
staff NN I-NP O
is VBZ B-VP O
so RB I-VP O
amazing JJ B-NP O
! . O O

My PRP$ B-NP O
new JJ I-NP O
favorite JJ I-NP O
spot NN I-NP O
hands VBZ B-VP O
down RB I-VP O
, , O O
everyone NN B-NP O
who WP B-NP O
has VBZ B-VP O
n't RB I-VP O
already RB O O
been VBN B-VP O
NEEDS NNP B-NP O
to TO B-VP O
make VB I-VP O
their PRP$ B-NP O
way NN I-NP O
out IN B-PP O
! . O O

PS NNP B-NP O
do VBP B-VP O
yourself PRP B-NP O
a DT I-NP O
favor NN I-NP O
and CC O O
get VB B-VP O
an DT B-NP O
order NN I-NP O
of IN B-PP O
samosas NN B-NP B-MENU
I PRP B-NP O
really RB O O
enjoyed VBD B-VP O
their PRP$ B-NP O
menu NN I-NP O
selection NN I-NP O
. . O O

Their PRP$ B-NP O
portions NNS I-NP O
are VBP B-VP O
definitely RB I-VP O
big JJ B-NP O
, , O O
their PRP$ B-NP O
wraps NNS I-NP O
are VBP B-VP O
a DT B-NP O
little JJ I-NP O
messy NN I-NP O
but CC O O
really RB O O
good JJ B-NP O
! . O O

Staff NNP B-NP O
is VBZ B-VP O
quite RB I-VP O
friendly JJ B-NP O
, , O O
as IN B-PP O
they PRP B-NP O
often RB O O
ask VBP B-VP O
if IN B-PP O
it PRP B-NP O
's VBZ B-VP O
you PRP B-NP O
're VBP B-VP O
first JJ B-NP O
time NN I-NP O
there EX B-NP O
so RB O O
they PRP B-NP O
're VBP B-VP O
able JJ B-NP O
to TO B-VP O
explain VB I-VP O
the DT B-NP O
menu NN I-NP O
. . O O

Overall JJ B-NP O
great JJ I-NP O
alternative NN I-NP O
to TO B-VP O
a DT B-NP O
fast JJ I-NP O
food NN I-NP O
place NN I-NP O
, , O O
it PRP B-NP O
's VBZ B-VP O
good JJ B-NP O
if IN B-PP O
you PRP B-NP O
're VBP B-VP O
new JJ B-NP O
to TO B-VP O
Indian JJ B-NP O
food NN I-NP O
and CC O O
want VBP B-VP O
to TO I-VP O
try VB I-VP O
out RP O O
different JJ B-NP O
things NNS I-NP O
. . O O

Exactly RB O O
what WP B-NP O
the DT I-NP O
west NN I-NP O
needed VBD B-VP O
! . O O

A DT B-NP O
trendy NN I-NP O
, , O O
modern JJ B-NP O
, , O O
fun JJ B-NP O
Indian JJ I-NP O
restaurant NN I-NP O
! . O O

Their PRP$ B-NP O
food NN I-NP O
is VBZ B-VP O
so RB I-VP O
fresh JJ B-NP O
and CC O O
so RB O O
flavorful JJ B-NP O
! . O O

A DT B-NP O
simple JJ I-NP O
and CC O O
easy JJ B-NP O
menu NN I-NP O
to TO B-VP O
follow VB I-VP O
, , O O
anyhing VBG B-VP O
you PRP B-NP O
get VBP B-VP O
is VBZ I-VP O
beyond IN B-PP O
delicious JJ B-NP O
! . O O

And CC O O
on IN B-PP O
top NN B-NP O
of IN B-PP O
all DT B-NP O
that IN B-PP O
the DT B-NP O
team NN I-NP O
gives VBZ B-VP O
such PDT B-NP O
a DT I-NP O
caring NN I-NP O
and CC O O
friendly RB O O
atmosphere IN B-PP O
you PRP B-NP O
can MD B-VP O
see VB I-VP O
how WRB O O
passionate NN B-NP O
they PRP B-NP O
are VBP B-VP O
about IN B-PP O
their PRP$ B-NP O
restaurant NN I-NP O
. . O O

It PRP B-NP O
's VBZ B-VP O
all DT B-NP O
about IN B-PP O
the DT B-NP O
Indian JJ I-NP O
food NN I-NP O
fusion NN I-NP O
into IN B-PP O
the DT B-NP O
modern JJ I-NP O
fast NN I-NP O
food NN I-NP O
chains NNS I-NP O
. . O O

If IN B-PP O
you PRP B-NP O
do VBP B-VP O
n't RB I-VP O
mind VB I-VP O
having VBG I-VP O
a DT B-NP O
plate NN I-NP O
/ NN I-NP O
boul NN I-NP O
where WRB O O
all DT B-NP O
your PRP$ I-NP O
meal NN I-NP O
got VBD B-VP O
mixed JJ B-NP O
up RB O O
in IN B-PP O
layers NNS B-NP O
or CC O O
you PRP B-NP O
are VBP B-VP O
less RBR O O
adventurous JJ B-NP O
and CC O O
want VB B-VP O
just RB I-VP O
a DT B-NP O
sandwich NN I-NP O
that WDT B-NP O
is VBZ B-VP O
difficult JJ B-NP O
to TO B-VP O
handle VB I-VP O
, , O O
give VB B-VP O
it PRP B-NP O
a DT I-NP O
try NN I-NP O
. . O O

The DT B-NP O
flavors NNS I-NP O
are VBP B-VP O
there RB I-VP O
, , O O
but CC O O
I PRP B-NP O
think VBP B-VP O
they PRP B-NP O
can MD B-VP O
improve VB I-VP O
on IN B-PP O
the DT B-NP O
presentation NN I-NP O
and CC O O
the DT B-NP O
temperature NN I-NP O
of IN B-PP O
the DT B-NP O
food NN I-NP O
. . O O

I PRP B-NP O
ordered VBD B-VP O
the DT B-NP O
naan NN I-NP B-MENU
with IN B-PP O
the DT B-NP O
Bombay NNP I-NP B-MENU
fish NN I-NP I-MENU
filling NN I-NP O
, , O O
a DT B-NP O
side NN I-NP O
of IN B-PP O
potatoes NNS B-NP O
( ( O O
yummm NN B-NP O
! . O O
) ) O O

and CC O O
a DT B-NP O
samosa NN I-NP B-MENU
. . O O

I PRP B-NP O
like VBP B-VP O
that IN B-PP O
we PRP B-NP O
can MD B-VP O
add VB I-VP O
vegetables NNS B-NP B-MENU
and CC O O
salads NNS B-NP B-MENU
inside IN B-PP O
the DT B-NP O
naan JJ I-NP B-MENU
roll NN I-NP I-MENU
, , O O
and CC O O
the DT B-NP O
variety NN I-NP O
of IN B-PP O
sauces NNS B-NP B-MENU
. . O O

The DT B-NP O
only JJ I-NP O
thing NN I-NP O
it PRP B-NP O
's VBZ B-VP O
that IN B-PP O
it PRP B-NP O
's VBZ B-VP O
really RB I-VP O
hard JJ B-NP O
to TO B-VP O
eat VB I-VP O
it PRP B-NP O
as IN B-PP O
a DT B-NP O
roll NN I-NP O
because IN B-PP O
you PRP B-NP O
ca MD B-VP O
n't RB I-VP O
hold VB I-VP O
it PRP B-NP O
up RP O O
and CC O O
slowly RB O O
unfoil JJ B-NP O
as IN B-PP O
you PRP B-NP O
eat VBP B-VP O
. . O O

They PRP B-NP O
should MD B-VP O
roll VB I-VP O
it PRP B-NP O
like IN B-PP O
they PRP B-NP O
do VBP B-VP O
at IN B-PP O
the DT B-NP O
libanese JJ I-NP O
style NN I-NP O
wraps NNS I-NP O
so RB O O
that IN B-PP O
it PRP B-NP O
's VBZ B-VP O
easier JJR B-NP O
to TO B-VP O
eat VB I-VP O
. . O O

It PRP B-NP O
's VBZ B-VP O
a DT B-NP O
nice JJ I-NP O
fast NN I-NP O
food NN I-NP O
option NN I-NP O
. . O O

Sorry NNP B-NP O
spicebros NN I-NP O
. . O O
. . O O
we PRP B-NP O
need VBP B-VP O
real JJ B-NP O
Indian JJ I-NP O
food NN I-NP O
, , O O
this DT B-NP O
is VBZ B-VP O
Indian JJ B-NP O
food NN I-NP O
for IN B-PP O
white JJ B-NP O
people NNS I-NP O
. . O O

Not RB O O
to TO B-VP O
much JJ B-NP O
spice NN I-NP O
not RB O O
to TO B-VP O
much VB I-VP O
flavour NN B-NP O
. . O O
I PRP B-NP O
've VBP B-VP O
been VBN I-VP O
to TO I-VP O
Spice NNP B-NP O
Bros NNP I-NP O
3 CD I-NP O
times NNS I-NP O
now RB O O
. . O O

The DT B-NP O
second JJ I-NP O
you PRP B-NP O
walk VBP B-VP O
in IN B-PP O
, , O O
the DT B-NP O
smell NN I-NP O
of IN B-PP O
butter NN B-NP B-MENU
chicken NN I-NP I-MENU
and CC O O
spices NNS B-NP O
hits NNS I-NP O
you PRP B-NP O
, , O O
and CC O O
you PRP B-NP O
immediately RB O O
start VB B-VP O
drooling NN B-NP O
. . O O

The DT B-NP O
décor NN I-NP O
at IN B-PP O
Spice NNP B-NP O
Bros NNP I-NP O
is VBZ B-VP O
so RB I-VP O
cool JJ B-NP O
, , O O
vibrant JJ B-NP O
and CC O O
colourful JJ B-NP O
. . O O

They PRP B-NP O
are VBP B-VP O
essentially RB I-VP O
bringing VBG I-VP O
street NN B-NP O
food NN I-NP O
from IN B-PP O
India NNP B-NP O
to TO B-VP O
the DT B-NP O
West NNP I-NP O
Island NNP I-NP O
, , O O
and CC O O
I PRP B-NP O
could MD B-VP O
n't RB I-VP O
be VB I-VP O
happier JJR B-NP O
as IN B-PP O
it PRP B-NP O
's VBZ B-VP O
a DT B-NP O
great JJ I-NP O
lunch NN I-NP O
spot NN I-NP O
. . O O

I PRP B-NP O
've VBP B-VP O
liked VBN I-VP O
everything NN B-NP O
that IN B-PP O
I PRP B-NP O
've VBP B-VP O
tried VBN I-VP O
